frota ano trimestre lat  long dias  capt_kg cpue    
  Santos  1995    3     23.25  41.75  8.0     1000.0000 125.00000
  Santos  1996    1     23.25  41.75  4.0     1000.0000 250.00000
  Santos  1999    1     23.25  41.75  5.0     1750.0000 350.00000
  Santos  1998    2     23.75  41.25  9.0     1800.0000 200.00000
  Ubatuba 1995    1     24.25  44.25  8.0      420.0000  52.50000
  Ubatuba 1995    1     24.25  44.25  7.0      315.0000  45.00000
  Ubatuba 1995    1     24.25  44.25  8.0      350.0000  43.75000
  Ubatuba 1998    2     24.25  45.25 10.0     3500.0000 350.00000
  Ubatuba 1998    2     24.25  45.25  7.0      950.0000 135.71429
  Ubatuba 1998    2     24.25  45.25  8.0     1000.0000 125.00000
  Ubatuba 1998    2     24.25  45.25  7.0      780.0000 111.42857
  Ubatuba 1998    3     24.25  45.25  4.0      600.0000 150.00000
  Ubatuba 1999    2     24.25  44.25 10.0      820.0000  82.00000
  Ubatuba 1999    4     24.25  45.25 10.0      880.0000  88.00000
  Santos  1999    1     24.25  44.75  5.0     1750.0000 350.00000
  Santos  1998    1     24.75  44.25 12.0     2300.0000 191.66667
  Santos  1999    1     24.75  46.25  5.0     2250.0000 450.00000
  Santos  1999    2     24.75  46.25  9.0      750.0000  78.94737
  Santos  1999    2     24.75  45.75  2.0      106.0000  53.00000
  Santos  1999    3     24.75  45.75  4.0      910.0000 227.50000
  Santos  1999    4     24.75  46.25  5.5      350.0000  63.63636
  Ubatuba 1996    3     25.25  46.25  8.0     1000.0000 125.00000
  Ubatuba 1996    3     25.25  46.25 10.0     1000.0000 100.00000
  Ubatuba 1996    3     25.25  46.25  9.0      650.0000  72.22222
  Ubatuba 1996    3     25.25  46.25  8.0      500.0000  62.50000
  Ubatuba 1997    2     25.25  46.25 12.0     1700.0000 141.66667
  Ubatuba 1997    2     25.25  46.25 10.0     1000.0000 100.00000
  Ubatuba 1997    3     25.25  46.25 12.0     3500.0000 291.66667
  Ubatuba 1997    3     25.25  46.25 10.0     2800.0000 280.00000
  Ubatuba 1997    3     25.25  46.25 10.0     2500.0000 250.00000
  Ubatuba 1997    3     25.25  46.25 10.0     2000.0000 200.00000
  Ubatuba 1999    1     25.25  46.25  9.0      400.0000  44.44444
  Ubatuba 1999    2     25.25  46.25 10.0     2100.0000 210.00000
  Ubatuba 1999    2     25.25  46.25  8.0      420.0000  52.50000
  Ubatuba 1999    3     25.25  46.25 10.0     1700.0000 170.00000
  Ubatuba 1999    3     25.25  46.25 10.0     1200.0000 120.00000
  Ubatuba 1999    4     25.25  46.25  8.0     1000.0000 125.00000
  Ubatuba 1999    4     25.25  46.25 10.0     1200.0000 120.00000
  Santos  1995    4     25.25  45.75 15.0     1000.0000  66.66667
  Santos  1996    1     25.25  46.25 10.0     3000.0000 300.00000
  Santos  1996    3     25.25  46.25  3.3      266.6667  80.00000
  Santos  1998    1     25.25  46.25 10.0     2200.0000 220.00000
  Santos  1998    1     25.25  45.25 14.0     3000.0000 214.28571
  Santos  1998    1     25.25  45.25 14.0     2000.0000 142.85714
  Santos  1999    1     25.25  45.25 12.0     2700.0000 225.00000
  Santos  1999    1     25.25  45.25 12.0     1000.0000  83.33333
  Santos  1999    2     25.25  45.25  2.0      106.0000  53.00000
  Santos  1999    3     25.25  46.25  1.5      350.0000 233.33333
  Santos  1999    3     25.25  44.75  4.0      910.0000 227.50000
  Santos  1999    4     25.25  46.25  9.0      1949.0000 216.55556
  Santos  1999    4     25.25  44.75  6.0      1000.0000 166.66667
  Ubatuba 1996    2     25.75  46.25  6.0      1500.0000 250.00000
  Ubatuba 1996    2     25.75  46.25  6.0       850.0000 141.66667
  Ubatuba 1996    2     25.75  46.25 12.0       680.0000  56.66667
  Ubatuba 1996    2     25.75  46.25 13.0       650.0000  50.00000
  Santos  1995    3     25.75  45.75  8.0      2000.0000 250.00000
  Santos  1995    3     25.75  46.25  1.0        50.0000  50.00000
  Santos  1995    4     25.75  46.25 15.0      2000.0000 133.33333
  Santos  1996    3     25.75  46.25  3.3       266.6667  80.00000
  Santos  1997    4     25.75  45.75 12.0      3000.0000 250.00000
  Santos  1997    4     25.75  46.25  4.0       300.0000  75.00000
